,run,model,img,avg_train_acc,avg_val_acc,best_val_acc,test_acc,macro_f1,weighted_f1
0,kaggle_base,inceptionv3_proposed,299,0.8936862099170685,0.7393258368968963,0.8202247023582458,0.8595505617977528,0.8432869835647613,0.8571680546867811
1,kaggle_base,ineptionv3,299,0.6921292340213602,0.7030132683840665,0.8595505356788635,0.8370786516853933,0.8124564363694798,0.8341578078021654
2,kaggle_base,resnet50,224,0.7522873294353485,0.6808988660573959,0.8483145833015442,0.8539325842696629,0.8320942457224789,0.8511099660091238
3,kaggle_base,vgg19,224,0.6910396957397461,0.5934831470251083,0.7865168452262878,0.8202247191011236,0.804414680830937,0.8193868991933143
4,kaggle_base,vgg16,224,0.657687459141016,0.5688202250748873,0.7752808928489685,0.7752808988764045,0.7535645571359857,0.7718464036013527
5,kaggle_base,cnn_plain,256,0.7157844983041286,0.5539325788617134,0.6629213690757751,0.6629213483146067,0.617528407106502,0.6509944291005009
6,kaggle_base,densenet,224,0.4289603018760681,0.5182022523880004,0.7022472023963928,0.7134831460674157,0.6911889871796726,0.707348922428673
7,kaggle_base,mobilenetv3,224,0.38147448301315307,0.40179775178432464,0.6685393452644348,0.6910112359550562,0.6968728527093351,0.684870925915974
8,kaggle_masked,resnet50,224,0.4865311936785777,0.3771067373454571,0.42696627974510193,0.38202247191011235,0.32467114820056,0.36665663797190556
9,kaggle_masked,ineptionv3,299,0.4306731321241545,0.366634092901064,0.4325842559337616,0.43820224719101125,0.38396949020820914,0.4314907434448907
10,kaggle_masked,vgg19,224,0.41992978538785664,0.33306580781936646,0.4157303273677826,0.43258426966292135,0.3932133352655744,0.43491427615334693
11,kaggle_masked,vgg16,224,0.3662322132210982,0.3187462993358311,0.4325842559337616,0.42134831460674155,0.3650072534153144,0.3992194191096579
12,kaggle_masked,cnn_plain,256,0.35267526494420093,0.28651685559231305,0.3932584226131439,0.38202247191011235,0.34378347781799956,0.3735015563278354
13,kaggle_masked,densenet,224,0.22920604857305685,0.2757490687072277,0.37078651785850525,0.3539325842696629,0.2672502185393299,0.3024375585318337
14,kaggle_masked,mobilenetv3,224,0.23926546247232527,0.27474585210993174,0.3988763988018036,0.3707865168539326,0.31996418106577224,0.3466557847691895
15,kaggle_masked,inceptionv3_proposed,299,0.31895514916289935,0.25280898944898084,0.3483146131038666,0.20786516853932585,0.19370882790828167,0.21588197127124029
16,kaggle_cropped,inceptionv3_proposed,299,0.7961320326878474,0.6058772813815337,0.7078651785850525,0.7191011235955056,0.6953022098774525,0.7168187890101767
17,kaggle_cropped,ineptionv3,299,0.6918714553117752,0.5991011261940002,0.7415730357170105,0.7078651685393258,0.6803680374039924,0.7028335850665723
18,kaggle_cropped,resnet50,224,0.7313421505689621,0.5934831491112709,0.7584269642829895,0.7528089887640449,0.7143430540400658,0.7464956694490089
19,kaggle_cropped,vgg19,224,0.6634404587745667,0.5298876535892486,0.6910112500190735,0.7359550561797753,0.6801575382138042,0.7263454528462144
20,kaggle_cropped,vgg16,224,0.6157277870178223,0.5044943910837173,0.6797752976417542,0.7078651685393258,0.67032737479794,0.7054433965575159
21,kaggle_cropped,cnn_plain,256,0.5517328292131424,0.483146067460378,0.5393258333206177,0.5,0.445687109737453,0.48383809481513435
22,kaggle_cropped,densenet,224,0.36695652067661283,0.4620224624872208,0.617977499961853,0.5561797752808989,0.5352628606229001,0.5645218735546855
23,kaggle_cropped,mobilenetv3,224,0.4130056720972061,0.44629212975502014,0.5955055952072144,0.5786516853932584,0.5571224658183141,0.5761648289963979
